timestamp,elapsed_s,x_g,y_g,z_g,dx,dy,dz,l2_norm
2026-04-08T16:29:15.360,213.740,-0.996,-0.003,0.115,-0.0020,0.0040,-0.0030,0.000029
2026-04-08T16:29:15.414,213.793,-0.993,-0.002,0.115,0.0030,0.0010,0.0000,0.000010
2026-04-08T16:29:15.467,213.846,-0.996,-0.008,0.121,-0.0030,-0.0060,0.0060,0.000081
2026-04-08T16:29:15.520,213.900,-0.995,-0.008,0.127,0.0010,0.0000,0.0060,0.000037
2026-04-08T16:29:15.577,213.957,-0.987,-0.001,0.119,0.0080,0.0070,-0.0080,0.000177
2026-04-08T16:29:15.631,214.010,-0.996,-0.004,0.121,-0.0090,-0.0030,0.0020,0.000094
2026-04-08T16:29:15.684,214.063,-0.993,-0.014,0.127,0.0030,-0.0100,0.0060,0.000145
2026-04-08T16:29:15.737,214.117,-0.989,-0.002,0.120,0.0040,0.0120,-0.0070,0.000209
2026-04-08T16:29:15.790,214.170,-0.997,-0.002,0.118,-0.0080,0.0000,-0.0020,0.000068
2026-04-08T16:29:15.844,214.223,-0.997,-0.008,0.127,0.0000,-0.0060,0.0090,0.000117
2026-04-08T16:29:15.897,214.277,-0.999,-0.003,0.130,-0.0020,0.0050,0.0030,0.000038
2026-04-08T16:29:15.950,214.330,-0.991,-0.003,0.128,0.0080,0.0000,-0.0020,0.000068
2026-04-08T16:29:16.003,214.383,-0.998,-0.012,0.114,-0.0070,-0.0090,-0.0140,0.000326
2026-04-08T16:29:16.057,214.436,-0.979,-0.005,0.126,0.0190,0.0070,0.0120,0.000554
2026-04-08T16:29:16.110,214.490,-0.994,-0.002,0.125,-0.0150,0.0030,-0.0010,0.000235
2026-04-08T16:29:16.163,214.543,-0.994,-0.004,0.121,0.0000,-0.0020,-0.0040,0.000020
2026-04-08T16:29:16.216,214.596,-0.994,-0.002,0.120,0.0000,0.0020,-0.0010,0.000005
2026-04-08T16:29:16.270,214.649,-0.994,-0.011,0.124,0.0000,-0.0090,0.0040,0.000097
2026-04-08T16:29:16.323,214.702,-0.999,-0.005,0.128,-0.0050,0.0060,0.0040,0.000077
2026-04-08T16:29:16.376,214.756,-1.000,0.004,0.119,-0.0010,0.0090,-0.0090,0.000163
2026-04-08T16:29:16.433,214.813,-0.999,-0.009,0.123,0.0010,-0.0130,0.0040,0.000186
2026-04-08T16:29:16.487,214.866,-0.995,-0.015,0.127,0.0040,-0.0060,0.0040,0.000068
2026-04-08T16:29:16.540,214.920,-1.014,-0.007,0.119,-0.0190,0.0080,-0.0080,0.000489
2026-04-08T16:29:16.593,214.973,-0.990,-0.008,0.118,0.0240,-0.0010,-0.0010,0.000578
2026-04-08T16:29:16.646,215.026,-0.999,-0.001,0.127,-0.0090,0.0070,0.0090,0.000211
2026-04-08T16:29:16.700,215.079,-0.995,-0.004,0.117,0.0040,-0.0030,-0.0100,0.000125
2026-04-08T16:29:16.753,215.133,-1.008,-0.019,0.123,-0.0130,-0.0150,0.0060,0.000430
2026-04-08T16:29:16.806,215.186,-0.992,-0.002,0.129,0.0160,0.0170,0.0060,0.000581
2026-04-08T16:29:16.860,215.239,-0.997,-0.001,0.117,-0.0050,0.0010,-0.0120,0.000170
2026-04-08T16:29:16.913,215.292,-0.996,-0.009,0.122,0.0010,-0.0080,0.0050,0.000090
2026-04-08T16:29:16.966,215.345,-0.992,-0.010,0.129,0.0040,-0.0010,0.0070,0.000066
2026-04-08T16:29:17.019,215.399,-0.996,0.003,0.124,-0.0040,0.0130,-0.0050,0.000210
2026-04-08T16:29:17.072,215.452,-0.998,-0.004,0.120,-0.0020,-0.0070,-0.0040,0.000069
2026-04-08T16:29:17.130,215.509,-0.995,-0.015,0.129,0.0030,-0.0110,0.0090,0.000211
2026-04-08T16:29:17.183,215.563,-0.997,-0.011,0.125,-0.0020,0.0040,-0.0040,0.000036
2026-04-08T16:29:17.235,215.615,-1.000,0.002,0.119,-0.0030,0.0130,-0.0060,0.000214
2026-04-08T16:29:17.290,215.669,-0.990,0.004,0.121,0.0100,0.0020,0.0020,0.000108
2026-04-08T16:29:17.343,215.722,-0.996,-0.015,0.127,-0.0060,-0.0190,0.0060,0.000433
2026-04-08T16:29:17.396,215.776,-0.999,-0.011,0.119,-0.0030,0.0040,-0.0080,0.000089
2026-04-08T16:29:17.449,215.829,-1.003,0.002,0.120,-0.0040,0.0130,0.0010,0.000186
2026-04-08T16:29:17.503,215.882,-1.001,0.002,0.130,0.0020,0.0000,0.0100,0.000104
2026-04-08T16:29:17.556,215.935,-0.997,-0.013,0.119,0.0040,-0.0150,-0.0110,0.000362
2026-04-08T16:29:17.609,215.989,-0.994,-0.018,0.122,0.0030,-0.0050,0.0030,0.000043
2026-04-08T16:29:17.662,216.042,-0.997,-0.008,0.127,-0.0030,0.0100,0.0050,0.000134
