elapsed_s,x_g,y_g,z_g,writing,word,newline
6.2133,0.804,0.585,0.096,1,fox,0
6.2317,0.681,0.77,0.108,1,fox,0
6.2522,0.696,0.714,0.087,1,fox,0
6.2726,0.72,0.662,0.141,1,fox,0
6.2931,0.689,0.662,0.16,1,fox,0
6.3136,0.574,0.783,0.234,1,fox,0
6.33,0.468,0.804,0.268,0,,0
6.3504,0.522,0.835,0.226,0,,0
6.3709,0.529,0.792,0.171,0,,0
6.3914,0.569,0.802,0.171,0,,0
6.4119,0.528,0.828,0.149,0,,0
6.4333,0.51,0.89,0.155,0,,0
6.4486,0.441,0.958,0.152,0,,0
6.4692,0.416,0.989,0.187,0,,0
6.4897,0.406,0.921,0.185,0,,0
6.5102,0.467,0.867,0.2,0,,0
6.5306,0.503,0.832,0.202,0,,0
6.5475,0.492,0.841,0.184,0,,0
6.5675,0.474,0.929,0.174,0,,0
6.588,0.424,0.93,0.159,0,,0
6.6084,0.448,0.889,0.185,0,,0
6.6289,0.418,0.912,0.221,0,,0
6.6494,0.408,0.915,0.179,0,,0
6.6658,0.422,0.91,0.203,0,,0
6.6863,0.44,0.907,0.216,0,,0
6.7068,0.447,0.879,0.2,1,hat,0
6.7274,0.43,0.917,0.198,1,hat,0
6.7477,0.431,0.885,0.198,1,hat,0
6.7683,0.456,0.879,0.186,1,hat,0
6.7846,0.448,0.863,0.189,1,hat,0
6.805,0.44,0.903,0.205,1,hat,0
6.8256,0.424,0.891,0.206,1,hat,0
6.846,0.421,0.889,0.209,1,hat,0
6.8665,0.434,0.896,0.205,1,hat,0
6.8831,0.453,0.882,0.179,1,hat,0
6.9034,0.444,0.896,0.202,1,hat,0
6.9238,0.419,0.89,0.205,1,hat,0
6.9443,0.405,0.896,0.187,1,hat,0
6.9648,0.435,0.884,0.176,1,hat,0
6.9853,0.447,0.891,0.183,1,hat,0
7.0017,0.438,0.91,0.21,1,hat,0
7.0221,0.421,0.885,0.213,1,hat,0
7.0426,0.387,0.941,0.229,1,hat,0
7.0631,0.455,0.896,0.187,1,hat,0
7.0835,0.439,0.893,-0.136,1,hat,0
7.104,0.358,0.895,0.35,1,hat,0
7.1245,0.337,0.888,0.32,1,hat,0
7.1409,0.36,0.922,0.157,1,hat,0
7.1615,0.403,0.871,0.178,1,hat,0
7.1819,0.421,0.947,0.18,1,hat,0
7.2024,0.365,0.962,-0.01,1,hat,0
7.2228,0.27,0.963,0.198,1,hat,0
7.2433,0.363,0.889,0.243,1,hat,0
7.2638,0.552,0.729,0.222,1,hat,0
7.2802,0.453,0.914,0.198,1,hat,0
7.3017,0.341,0.914,0.338,1,hat,0
7.321,0.416,0.893,0.222,1,hat,0
7.3415,0.323,0.94,0.155,1,hat,0
7.366,0.42,1.014,0.054,1,hat,0
7.3825,0.416,0.953,0.122,1,hat,0
7.3989,0.422,0.9,0.043,1,hat,0
7.4194,0.47,0.835,0.188,1,hat,0
7.441,0.532,0.764,0.259,1,hat,0
7.4604,0.518,1.091,0.216,1,hat,0
7.4809,0.407,0.905,0.181,1,hat,0
7.5021,0.357,0.982,0.095,1,hat,0
7.5177,0.414,0.931,0.206,1,hat,0
7.5382,0.29,1.071,0.321,1,hat,0
7.5587,0.439,1.012,0.269,1,hat,0
7.5792,0.275,0.933,0.214,1,hat,0
7.5996,0.517,0.736,0.146,1,hat,0
7.6201,0.604,0.763,0.177,1,hat,0
7.6367,0.452,1.084,0.333,1,hat,0
7.6569,0.262,0.958,0.154,1,hat,0
7.6774,0.354,0.949,0.119,1,hat,0
7.6979,0.433,0.979,0.201,1,hat,0
7.7184,0.459,0.929,0.197,1,hat,0
7.7348,0.455,0.885,0.141,1,hat,0
7.7554,0.375,0.879,0.131,1,hat,0
7.7757,0.396,0.892,0.208,1,hat,0
7.7962,0.34,1.019,0.131,1,hat,0
7.8167,0.39,0.895,0.067,1,hat,0
7.8372,0.287,0.932,0.011,1,hat,0
7.8536,0.383,0.965,0.054,1,hat,0
7.874,0.379,0.942,0.046,1,hat,0
7.8945,0.377,0.938,0.147,1,hat,0
7.9151,0.507,0.771,0.205,1,hat,0
7.9355,0.542,0.813,0.25,1,hat,0
7.9559,0.383,0.918,0.187,1,hat,0
7.9725,0.217,0.98,0.273,1,hat,0
7.9928,0.411,0.951,0.163,1,hat,0
8.0139,0.451,1.001,0.055,1,hat,0
8.0337,0.401,0.917,0.058,1,hat,0
8.0542,0.348,0.942,0.041,1,hat,0
8.0707,0.369,0.91,0.186,1,hat,0
8.0911,0.497,0.777,0.174,1,hat,0
8.1116,0.597,0.727,0.122,1,hat,0
8.1321,0.374,0.954,0.21,1,hat,0
8.1526,0.275,0.966,0.229,1,hat,0
8.173,0.365,0.968,0.127,1,hat,0
8.1894,0.337,0.876,0.059,1,hat,0
8.2099,0.245,0.993,0.116,1,hat,0
8.2304,0.356,0.984,0.137,1,hat,0
8.2508,0.327,0.981,0.063,1,hat,0
8.2713,0.254,1.144,0.169,1,hat,0
8.2918,0.43,0.806,0.152,1,hat,0
8.3082,0.641,0.729,0.133,1,hat,0
8.3287,0.629,0.743,0.159,1,hat,0
8.3492,0.475,1.572,0.177,1,hat,0
8.3697,0.296,0.923,0.213,1,hat,0
8.3901,0.349,0.977,0.257,1,hat,0
8.4106,0.32,0.888,0.331,1,hat,0
